Price,Close,High,Low,Open,Volume
Ticker,GF=F,GF=F,GF=F,GF=F,GF=F
Date,,,,,
2020-01-02,144.64999389648438,145.85000610351562,142.77499389648438,145.47500610351562,4062
2020-01-03,143.35000610351562,144.3249969482422,143.27499389648438,144.125,1598
2020-01-06,147.4250030517578,147.8249969482422,143.39999389648438,143.72500610351562,5673
2020-01-07,145.89999389648438,147.27499389648438,145.25,147.0,2220
2020-01-08,146.8249969482422,147.10000610351562,145.5500030517578,145.89999389648438,1748
2020-01-09,146.9250030517578,147.52499389648438,146.14999389648438,146.60000610351562,1551
2020-01-10,147.60000610351562,147.8000030517578,146.10000610351562,146.6750030517578,1423
2020-01-13,146.02499389648438,147.25,145.8000030517578,147.25,1712
2020-01-14,145.89999389648438,146.1999969482422,145.27499389648438,145.89999389648438,1147
2020-01-15,145.4250030517578,146.625,144.60000610351562,145.89999389648438,2652
2020-01-16,145.4250030517578,145.75,143.39999389648438,145.6750030517578,1230
2020-01-17,145.35000610351562,145.5749969482422,144.60000610351562,145.14999389648438,439
2020-01-21,145.0749969482422,145.25,144.625,145.14999389648438,682
2020-01-22,143.9250030517578,145.0,143.85000610351562,145.0,732
2020-01-23,142.77499389648438,144.5,142.72500610351562,144.125,1120
2020-01-24,141.85000610351562,143.125,141.72500610351562,142.77499389648438,988
2020-01-27,141.89999389648438,142.39999389648438,141.8000030517578,142.0,829
2020-01-28,142.0500030517578,142.39999389648438,141.77499389648438,141.77499389648438,582
2020-01-29,142.10000610351562,142.5,141.875,142.375,301
2020-01-30,142.4499969482422,142.52499389648438,142.25,142.3000030517578,6003
2020-01-31,136.0749969482422,137.77499389648438,135.4499969482422,135.64999389648438,7062
2020-02-03,136.64999389648438,137.3000030517578,133.64999389648438,136.35000610351562,11246
2020-02-04,137.5,138.0749969482422,136.39999389648438,137.10000610351562,8183
2020-02-05,135.6750030517578,138.0749969482422,135.5,137.89999389648438,5649
2020-02-06,135.89999389648438,136.9499969482422,135.27499389648438,135.89999389648438,4421
2020-02-07,135.1999969482422,136.0749969482422,135.0,135.9250030517578,5847
2020-02-10,135.6999969482422,135.8249969482422,134.375,134.9250030517578,7610
2020-02-11,134.6750030517578,136.89999389648438,134.52499389648438,135.64999389648438,6962
2020-02-12,135.0500030517578,135.52499389648438,134.1750030517578,134.85000610351562,5881
2020-02-13,136.3249969482422,136.77499389648438,134.1999969482422,135.02499389648438,7808
2020-02-14,138.52499389648438,139.64999389648438,136.77499389648438,136.77499389648438,8409
2020-02-18,139.3000030517578,139.5500030517578,138.6750030517578,139.10000610351562,4434
2020-02-19,140.77499389648438,140.9499969482422,139.0500030517578,139.5,5855
2020-02-20,140.8000030517578,141.3249969482422,139.52499389648438,140.9499969482422,5142
2020-02-21,140.1999969482422,140.9250030517578,139.64999389648438,140.6999969482422,6242
2020-02-24,136.02499389648438,138.02499389648438,135.6999969482422,137.89999389648438,6750
2020-02-25,132.97500610351562,137.22500610351562,131.77499389648438,136.6999969482422,6250
2020-02-26,134.0749969482422,135.375,133.0,133.47500610351562,3809
2020-02-27,132.5749969482422,134.47500610351562,129.5749969482422,132.4250030517578,4108
